pool,func,minargs,maxargs,type,definition
GSC-Function-4f437c0,function_e6ba3ec9,3,4,GLOBAL,
GSC-Function-4f437c0,function_7637f5ce,2,4,GLOBAL,
GSC-Function-4f437c0,playerphysicstrace,2,2,GLOBAL,
GSC-Function-4f437c0,playerphysicstraceignoreent,3,3,GLOBAL,
GSC-Function-4f437c0,playerbullettrace,3,3,GLOBAL,
GSC-Function-4f437c0,worldtrace,2,2,GLOBAL,
GSC-Function-4f437c0,playerpositionvalid,1,1,GLOBAL,
GSC-Function-4f437c0,playerpositionvalidignoreent,2,2,GLOBAL,
GSC-Function-4f437c0,function_b576d3d,2,2,GLOBAL,
GSC-Function-4f437c0,function_1fb666e0,3,3,GLOBAL,
GSC-Function-4f437c0,getanimtagorigin,3,3,GLOBAL,
GSC-Function-4f437c0,getmovedelta,1,4,GLOBAL,
GSC-Function-4f437c0,getangledelta,1,3,GLOBAL,
GSC-Function-4f437c0,getnorthyaw,0,0,GLOBAL,
GSC-Function-4f437c0,playfx,2,6,GLOBAL,
GSC-Function-4f437c0,playfxontag,3,4,GLOBAL,
GSC-Function-4f437c0,playfxoncamera,2,5,GLOBAL,
GSC-Function-4f437c0,getwaterheight,1,3,GLOBAL,
GSC-Function-4f437c0,playloopedfx,3,6,GLOBAL,
GSC-Function-4f437c0,spawnfx,2,4,GLOBAL,
GSC-Function-4f437c0,triggerfx,1,2,GLOBAL,
GSC-Function-4f437c0,fxblocksight,2,2,GLOBAL,
GSC-Function-4f437c0,resetglass,0,0,GLOBAL,
GSC-Function-4f437c0,playtagfxset,2,2,GLOBAL,
GSC-Function-4f437c0,physicsexplosionsphere,4,6,GLOBAL,
GSC-Function-4f437c0,physicsexplosioncylinder,4,4,GLOBAL,
GSC-Function-4f437c0,physicsjolt,4,4,GLOBAL,
GSC-Function-4f437c0,physicsjetthrust,5,5,GLOBAL,
GSC-Function-4f437c0,createstreamerhint,2,3,GLOBAL,
GSC-Function-4f437c0,aretexturesloaded,0,0,GLOBAL,
GSC-Function-4f437c0,setexpfog,6,6,GLOBAL,
GSC-Function-4f437c0,setvolfog,8,12,GLOBAL,
GSC-Function-4f437c0,setculldist,1,1,GLOBAL,
GSC-Function-4f437c0,grenadeexplosioneffect,1,1,GLOBAL,
GSC-Function-4f437c0,magicbullet,3,6,GLOBAL,
GSC-Function-4f437c0,radiusdamage,4,7,GLOBAL,
GSC-Function-4f437c0,setplayerignoreradiusdamage,1,1,GLOBAL,
GSC-Function-4f437c0,glassradiusdamage,4,5,GLOBAL,
GSC-Function-4f437c0,getnumparts,1,1,GLOBAL,
GSC-Function-4f437c0,getpartname,2,2,GLOBAL,
GSC-Function-4f437c0,earthquake,4,5,GLOBAL,
GSC-Function-4f437c0,screenshake,5,d,GLOBAL,
GSC-Function-4f437c0,bulletspread,3,3,GLOBAL,
GSC-Function-4f437c0,resettimeout,0,0,GLOBAL,
GSC-Function-4f437c0,getattachmentnames,0,0,GLOBAL,
GSC-Function-4f437c0,getwatcherweapons,0,0,GLOBAL,
GSC-Function-4f437c0,getretrievableweapons,0,0,GLOBAL,
GSC-Function-4f437c0,islaseron,1,1,GLOBAL,
GSC-Function-4f437c0,isitemrestricted,1,1,GLOBAL,
GSC-Function-4f437c0,getequipmentheadobjective,1,1,GLOBAL,
GSC-Function-4f437c0,getcrateheadobjective,1,1,GLOBAL,
GSC-Function-4f437c0,function_2717b55f,0,1,GLOBAL,
GSC-Function-4f437c0,function_302bd0b9,0,0,GLOBAL,
GSC-Function-4f437c0,function_6a9e36d6,0,0,GLOBAL,
GSC-Function-4f437c0,isplayernumber,1,1,GLOBAL,
GSC-Function-4f437c0,setwinningplayer,1,1,GLOBAL,
GSC-Function-4f437c0,setwinningteam,1,1,GLOBAL,
GSC-Function-4f437c0,announcement,2,7fffffff,GLOBAL,
GSC-Function-4f437c0,clientannouncement,2,7fffffff,GLOBAL,
GSC-Function-4f437c0,getteamscore,1,1,GLOBAL,
GSC-Function-4f437c0,setteamscore,2,2,GLOBAL,
GSC-Function-4f437c0,setclientnamemode,1,1,GLOBAL,
GSC-Function-4f437c0,updateclientnames,0,0,GLOBAL,
GSC-Function-4f437c0,getteamplayersalive,1,1,GLOBAL,
GSC-Function-4f437c0,getdroppedweapons,0,0,GLOBAL,
GSC-Function-4f437c0,worldentnumber,0,0,GLOBAL,
GSC-Function-4f437c0,beamlaunch,5,5,GLOBAL,
GSC-Function-4f437c0,obituary,4,4,GLOBAL,
GSC-Function-4f437c0,function_f887b191,3,4,GLOBAL,
GSC-Function-4f437c0,reviveobituary,1,1,GLOBAL,
GSC-Function-4f437c0,adddemobookmark,9,a,GLOBAL,
GSC-Function-4f437c0,function_f539d880,0,0,GLOBAL,
GSC-Function-4f437c0,stopdemorecording,0,0,GLOBAL,
GSC-Function-4f437c0,positionwouldtelefrag,1,1,GLOBAL,
GSC-Function-4f437c0,boundswouldtelefrag,2,2,GLOBAL,
GSC-Function-4f437c0,recordusedspawnpoint,3,3,GLOBAL,
GSC-Function-4f437c0,testspawnpoint,1,1,GLOBAL,
GSC-Function-4f437c0,getstarttime,0,0,GLOBAL,
GSC-Function-4f437c0,map_restart,0,1,GLOBAL,
GSC-Function-4f437c0,missionrestart,0,0,GLOBAL,
GSC-Function-4f437c0,missionfailed,0,0,GLOBAL,
GSC-Function-4f437c0,exitlevel,0,2,GLOBAL,
GSC-Function-4f437c0,killserver,0,0,GLOBAL,
GSC-Function-4f437c0,addtestclient,0,2,GLOBAL,
GSC-Function-4f437c0,setobjectivepointstatus,4,4,GLOBAL,
GSC-Function-4f437c0,setbombtimer,2,2,GLOBAL,
GSC-Function-4f437c0,function_4c27be22,1,1,GLOBAL,
GSC-Function-4f437c0,setroundsplayed,1,1,GLOBAL,
GSC-Function-4f437c0,setinitialplayersconnected,0,0,GLOBAL,
GSC-Function-4f437c0,setmatchflag,2,2,GLOBAL,
GSC-Function-4f437c0,setmatchtalkflag,2,2,GLOBAL,
GSC-Function-4f437c0,setarchive,ffffffff,ffffffff,GLOBAL,
GSC-Function-4f437c0,allclientsprint,1,1,GLOBAL,
GSC-Function-4f437c0,clientprint,2,2,GLOBAL,
GSC-Function-4f437c0,mapexists,1,1,GLOBAL,
GSC-Function-4f437c0,isvalidgametype,1,1,GLOBAL,
GSC-Function-4f437c0,skillupdate,0,2,GLOBAL,
GSC-Function-4f437c0,function_ecfc02d0,0,0,GLOBAL,
GSC-Function-4f437c0,setteamspyplane,2,2,GLOBAL,
GSC-Function-4f437c0,getteamspyplane,1,1,GLOBAL,
GSC-Function-4f437c0,setteamsatellite,2,2,GLOBAL,
GSC-Function-4f437c0,getteamsatellite,1,1,GLOBAL,
GSC-Function-4f437c0,getassignedteam,1,1,GLOBAL,
GSC-Function-4f437c0,getassignedteamname,1,1,GLOBAL,
GSC-Function-4f437c0,getdefaultclassslot,2,2,GLOBAL,
GSC-Function-4f437c0,getitemattachment,2,2,GLOBAL,
GSC-Function-4f437c0,getitemattachmentallocationcost,2,2,GLOBAL,
GSC-Function-4f437c0,getitemgroupfromitemindex,1,1,GLOBAL,
GSC-Function-4f437c0,getgametypeenumfromname,2,2,GLOBAL,
GSC-Function-4f437c0,setscoreboardcolumns,5,e,GLOBAL,
GSC-Function-4f437c0,recordnumzombierounds,0,1,GLOBAL,
GSC-Function-4f437c0,recordgameresult,0,1,GLOBAL,
GSC-Function-4f437c0,finalizematchrecord,0,0,GLOBAL,
GSC-Function-4f437c0,function_f8d53445,0,0,GLOBAL,
GSC-Function-4f437c0,matchrecordroundend,0,0,GLOBAL,
GSC-Function-4f437c0,matchrecordroundstart,0,0,GLOBAL,
GSC-Function-4f437c0,matchrecordovertimeround,0,0,GLOBAL,
GSC-Function-4f437c0,gettouchingvolume,3,3,GLOBAL,
GSC-Function-4f437c0,getentitiesinradius,2,3,GLOBAL,
GSC-Function-4f437c0,getentities,0,0,GLOBAL,
GSC-Function-4f437c0,getfirsttouchfraction,4,4,GLOBAL,
GSC-Function-4f437c0,recordmatchsummaryzombieendgamedata,0,4,GLOBAL,
GSC-Function-4f437c0,matchrecorderincrementheaderstat,0,2,GLOBAL,
GSC-Function-4f437c0,recordzombieroundstart,0,0,GLOBAL,
GSC-Function-4f437c0,recordzombieroundend,0,0,GLOBAL,
GSC-Function-4f437c0,clearplayercorpses,0,0,GLOBAL,
GSC-Function-4f437c0,function_7d6839ae,4,5,GLOBAL,
GSC-Function-4f437c0,function_2d3f8777,3,4,GLOBAL,
GSC-Function-4f437c0,function_2fa975e0,5,6,GLOBAL,
GSC-Function-4f437c0,function_76f27db3,4,5,GLOBAL,
GSC-Function-4f437c0,function_909b6ab,2,2,GLOBAL,
GSC-Function-4f437c0,function_22448d6c,1,1,GLOBAL,
GSC-Function-4f437c0,function_b37afded,2,2,GLOBAL,
GSC-Function-4f437c0,function_37d3bfcb,1,1,GLOBAL,
GSC-Function-4f437c0,recordplayerstats,3,3,GLOBAL,
GSC-Function-4f437c0,recordplayermatchend,1,1,GLOBAL,
GSC-Function-4f437c0,function_2c666d56,3,3,GLOBAL,
GSC-Function-4f437c0,recordmatchbegin,0,0,GLOBAL,
GSC-Function-4f437c0,recordbreadcrumbdataforplayer,1,1,GLOBAL,
GSC-Function-4f437c0,matchrecordnewplayer,1,1,GLOBAL,
GSC-Function-4f437c0,function_ad11630f,12,12,GLOBAL,
GSC-Function-4f437c0,matchrecordlogadditionaldeathinfo,5,5,GLOBAL,
GSC-Function-4f437c0,matchrecordlogspecialmovedataforlife,9,e,GLOBAL,
GSC-Function-4f437c0,matchrecordlogchallengecomplete,5,5,GLOBAL,
GSC-Function-4f437c0,matchrecordsetcurrentlevelcomplete,0,0,GLOBAL,
GSC-Function-4f437c0,matchrecordsetleveldifficultyforindex,2,2,GLOBAL,
GSC-Function-4f437c0,matchrecordgetweaponindex,1,1,GLOBAL,
GSC-Function-4f437c0,function_f4f6d8a1,0,0,GLOBAL,
GSC-Function-4f437c0,setvotestring,1,1,GLOBAL,
GSC-Function-4f437c0,setvotetime,1,1,GLOBAL,
GSC-Function-4f437c0,setvoteyescount,1,1,GLOBAL,
GSC-Function-4f437c0,setvotenocount,1,1,GLOBAL,
GSC-Function-4f437c0,arenagetslot,0,0,GLOBAL,
GSC-Function-4f437c0,arenagetcurrentseason,0,0,GLOBAL,
GSC-Function-4f437c0,function_654d64ea,0,0,GLOBAL,
GSC-Function-4f437c0,function_a357a2b8,1,1,GLOBAL,
GSC-Function-4f437c0,function_e938380b,0,0,GLOBAL,
GSC-Function-4f437c0,function_945560bf,0,0,GLOBAL,
GSC-Function-4f437c0,function_c285fbd9,0,0,GLOBAL,
GSC-Function-4f437c0,function_377f07c2,0,0,GLOBAL,
GSC-Function-4f437c0,function_7a0dc792,0,0,GLOBAL,
GSC-Function-4f437c0,reportmtu,1,1,GLOBAL,
GSC-Function-4f437c0,kick,1,2,GLOBAL,
GSC-Function-4f437c0,function_c8d461b0,1,2,GLOBAL,
GSC-Function-4f437c0,map,1,1,GLOBAL,
GSC-Function-4f437c0,playrumbleonposition,2,2,GLOBAL,
GSC-Function-4f437c0,playrumblelooponposition,2,2,GLOBAL,
GSC-Function-4f437c0,stopallrumbles,0,0,GLOBAL,
GSC-Function-4f437c0,soundexists,1,1,GLOBAL,
GSC-Function-4f437c0,soundgetplaybacktime,1,1,GLOBAL,
GSC-Function-4f437c0,soundgetalias,1,1,GLOBAL,
GSC-Function-4f437c0,issplitscreen,0,0,GLOBAL,
GSC-Function-4f437c0,islocalgame,0,0,GLOBAL,
GSC-Function-4f437c0,isglobalstatsserver,0,0,GLOBAL,
GSC-Function-4f437c0,setminimap,5,5,GLOBAL,
GSC-Function-4f437c0,setminimapzone,4,4,GLOBAL,
GSC-Function-4f437c0,function_fd82b127,0,0,GLOBAL,
GSC-Function-4f437c0,setmapcenter,1,1,GLOBAL,
GSC-Function-4f437c0,setdemointermissionpoint,2,2,GLOBAL,
GSC-Function-4f437c0,setgameendtime,1,1,GLOBAL,
GSC-Function-4f437c0,setslowmotion,1,3,GLOBAL,
GSC-Function-4f437c0,setpauseworld,1,1,GLOBAL,
GSC-Function-4f437c0,isworldpaused,0,0,GLOBAL,
GSC-Function-4f437c0,numremoteclients,0,0,GLOBAL,
GSC-Function-4f437c0,visionsetnaked,1,2,GLOBAL,
GSC-Function-4f437c0,visionsetlaststand,1,2,GLOBAL,
GSC-Function-4f437c0,setgravity,1,1,GLOBAL,
GSC-Function-4f437c0,setwavewatergeneratoramplitude,2,2,GLOBAL,
GSC-Function-4f437c0,getlobbyclientcount,0,0,GLOBAL,
GSC-Function-4f437c0,enablelobbyjoins,1,1,GLOBAL,
GSC-Function-4f437c0,clientsysregister,1,1,GLOBAL,
GSC-Function-4f437c0,clientsyssetstate,2,2,GLOBAL,
GSC-Function-4f437c0,getsnapshotindexarray,0,0,GLOBAL,
GSC-Function-4f437c0,snapshotacknowledged,1,1,GLOBAL,
GSC-Function-4f437c0,getaitriggerflags,0,0,GLOBAL,
GSC-Function-4f437c0,getmaxvehicles,0,0,GLOBAL,
GSC-Function-4f437c0,disabledestructiblepieces,1,1,GLOBAL,
GSC-Function-4f437c0,enablealldestructiblepieces,0,0,GLOBAL,
GSC-Function-4f437c0,createdynentandlaunch,5,6,GLOBAL,
GSC-Function-4f437c0,getvehicletriggerflags,0,0,GLOBAL,
GSC-Function-4f437c0,getentnavmaterial,1,1,GLOBAL,
GSC-Function-4f437c0,collisiontestpointsinsphere,3,3,GLOBAL,
GSC-Function-4f437c0,collisiontestpointsincylinder,5,5,GLOBAL,
GSC-Function-4f437c0,collisiontestpointsinpill,6,6,GLOBAL,
GSC-Function-4f437c0,collisiontestpointsincone,6,6,GLOBAL,
GSC-Function-4f437c0,collisiontestpointsinbox,7,7,GLOBAL,
GSC-Function-4f437c0,qsortscoredspawnpointsascending,1,1,GLOBAL,
GSC-Function-4f437c0,matrix4x4transformpoints,2,2,GLOBAL,
GSC-Function-4f437c0,enablespawnpointlist,2,2,GLOBAL,
GSC-Function-4f437c0,disablespawnpointlist,2,2,GLOBAL,
GSC-Function-4f437c0,setspawnpointrandomvariation,1,1,GLOBAL,
GSC-Function-4f437c0,clearspawnpoints,0,1,GLOBAL,
GSC-Function-4f437c0,placespawnpoint,1,1,GLOBAL,
GSC-Function-4f437c0,addspawnpoints,2,3,GLOBAL,
GSC-Function-4f437c0,getbestspawnpoint,2,6,GLOBAL,
GSC-Function-4f437c0,clearspawnpointsbaseweight,1,1,GLOBAL,
GSC-Function-4f437c0,setspawnpointsbaseweight,4,4,GLOBAL,
GSC-Function-4f437c0,getplayerspawnid,1,1,GLOBAL,
GSC-Function-4f437c0,isspawnpointvisible,4,4,GLOBAL,
GSC-Function-4f437c0,getspawnlists,0,0,GLOBAL,
GSC-Function-4f437c0,addinfluencer,3,3,GLOBAL,
GSC-Function-4f437c0,addentityinfluencer,3,3,GLOBAL,
GSC-Function-4f437c0,function_a116c91b,3,3,GLOBAL,
GSC-Function-4f437c0,addorientedinfluencer,4,4,GLOBAL,
GSC-Function-4f437c0,removeinfluencer,1,1,GLOBAL,
GSC-Function-4f437c0,removeallinfluencersfromentity,1,1,GLOBAL,
GSC-Function-4f437c0,enableinfluencer,2,2,GLOBAL,
GSC-Function-4f437c0,setinfluencerteammask,2,2,GLOBAL,
GSC-Function-4f437c0,setinfluencertimeout,2,2,GLOBAL,
GSC-Function-4f437c0,function_8b51d4df,2,2,GLOBAL,
GSC-Function-4f437c0,getinfluencertimeoutremaining,1,1,GLOBAL,
GSC-Function-4f437c0,setdebugsideswitch,1,1,DEV,nulled
GSC-Function-4f437c0,getinfluencerpreset,1,1,GLOBAL,
GSC-Function-4f437c0,function_2e07e8f9,2,2,GLOBAL,
GSC-Function-4f437c0,target_set,1,3,GLOBAL,
GSC-Function-4f437c0,target_setoffset,1,2,GLOBAL,
GSC-Function-4f437c0,target_getoffset,1,1,GLOBAL,
GSC-Function-4f437c0,target_remove,1,2,GLOBAL,
GSC-Function-4f437c0,target_setshader,2,2,GLOBAL,
GSC-Function-4f437c0,target_setoffscreenshader,2,2,GLOBAL,
GSC-Function-4f437c0,target_getorigin,1,2,GLOBAL,
GSC-Function-4f437c0,target_isinrect,5,6,GLOBAL,
GSC-Function-4f437c0,target_isincircle,4,6,GLOBAL,
GSC-Function-4f437c0,target_scaleminmaxradius,4,6,GLOBAL,
GSC-Function-4f437c0,target_originisincircle,4,5,GLOBAL,
GSC-Function-4f437c0,target_boundingisunderreticle,3,3,GLOBAL,
GSC-Function-4f437c0,target_startreticlelockon,2,2,GLOBAL,
GSC-Function-4f437c0,target_clearreticlelockon,0,0,GLOBAL,
GSC-Function-4f437c0,target_getarray,0,0,GLOBAL,
GSC-Function-4f437c0,target_getsubtargets,1,1,GLOBAL,
GSC-Function-4f437c0,target_istarget,1,2,GLOBAL,
GSC-Function-4f437c0,target_setattackmode,2,2,GLOBAL,
GSC-Function-4f437c0,target_setjavelinonly,2,2,GLOBAL,
GSC-Function-4f437c0,target_setallowhighsteering,2,2,GLOBAL,
GSC-Function-4f437c0,target_getpotentialsubtargets,1,1,GLOBAL,
GSC-Function-4f437c0,getfogsettings,0,0,GLOBAL,
GSC-Function-4f437c0,pixmarker,1,1,GLOBAL,
GSC-Function-4f437c0,changeadvertisedstatus,1,1,GLOBAL,
GSC-Function-4f437c0,function_65469e2e,0,0,GLOBAL,
GSC-Function-4f437c0,setqosgamedatapayload,0,7fffffff,GLOBAL,
GSC-Function-4f437c0,resetqosgamedatapayload,0,0,GLOBAL,
GSC-Function-4f437c0,incrementcounter,2,2,GLOBAL,
GSC-Function-4f437c0,function_63be9c25,1,1,GLOBAL,
GSC-Function-4f437c0,function_a2095d15,0,0,GLOBAL,
GSC-Function-4f437c0,sethostmigrationstatus,1,1,GLOBAL,
GSC-Function-4f437c0,starthostmigration,0,0,DEV,start host migration
GSC-Function-4f437c0,function_3238d10d,1,1,GLOBAL,
GSC-Function-4f437c0,gamerepthresholdexceeded,1,1,GLOBAL,
GSC-Function-4f437c0,zerogravityvolumeon,1,1,GLOBAL,
GSC-Function-4f437c0,zerogravityvolumeoff,1,1,GLOBAL,
GSC-Function-4f437c0,getutc,0,0,GLOBAL,
GSC-Function-4f437c0,isusingt7melee,0,0,GLOBAL,
GSC-Function-4f437c0,registerskipto,1,1,GLOBAL,
GSC-Function-4f437c0,getskiptoname,1,1,GLOBAL,
GSC-Function-4f437c0,getskiptos,0,0,GLOBAL,
GSC-Function-4f437c0,setskiptos,1,2,GLOBAL,
GSC-Function-4f437c0,aiprofile_beginentry,1,1,GLOBAL,
GSC-Function-4f437c0,aiprofile_endentry,0,0,GLOBAL,
GSC-Function-4f437c0,streamermodelhint,2,2,GLOBAL,
GSC-Function-4f437c0,streamerrequest,1,2,GLOBAL,
GSC-Function-4f437c0,cloneandremoveentity,1,1,GLOBAL,
GSC-Function-4f437c0,loadsentienteventparameters,1,1,GLOBAL,
GSC-Function-4f437c0,hkaigettimertestpathfindstartpos,0,0,GLOBAL,
GSC-Function-4f437c0,hkaigettimertestpathfindendpos,0,0,GLOBAL,
GSC-Function-4f437c0,hkaisettimertestent,1,1,GLOBAL,
GSC-Function-4f437c0,gettotalserverpausetime,0,0,GLOBAL,
GSC-Function-4f437c0,function_129f6487,1,1,GLOBAL,
GSC-Function-4f437c0,createtacticalinfluencer,3,3,GLOBAL,
GSC-Function-4f437c0,removetacticalinfluencer,1,1,GLOBAL,
GSC-Function-4f437c0,enabletacticalinfluencer,1,1,GLOBAL,
GSC-Function-4f437c0,disabletacticalinfluencer,1,1,GLOBAL,
GSC-Function-4f437c0,tacitcalinfluencersetteammask,1,1,GLOBAL,
GSC-Function-4f437c0,tacticalinfluencergetthreatscore,3,3,GLOBAL,
GSC-Function-4f437c0,getearliestarchiveclientinfotime,0,0,GLOBAL,
GSC-Function-4f437c0,function_5fad41b5,0,0,GLOBAL,
GSC-Function-4f437c0,function_90243841,0,0,GLOBAL,
GSC-Function-4f437c0,function_7f088568,0,0,GLOBAL,
GSC-Function-4f437c0,printplayofthematchdebuginformation,2,2,GLOBAL,
GSC-Function-4f437c0,function_8c9585ea,1,1,GLOBAL,
GSC-Function-4f437c0,addpotmevent,3,3,GLOBAL,
GSC-Function-4f437c0,removepotmevent,1,1,GLOBAL,
GSC-Function-4f437c0,startplayofthematch,1,1,GLOBAL,
GSC-Function-4f437c0,stopplayofthematch,0,0,GLOBAL,
GSC-Function-4f437c0,function_75ad934d,0,0,GLOBAL,
GSC-Function-4f437c0,function_ba563f48,0,0,GLOBAL,
GSC-Function-4f437c0,function_f2f9ce22,0,0,GLOBAL,
GSC-Function-4f437c0,function_27f2ef17,1,1,GLOBAL,
GSC-Function-4f437c0,function_4e3bb793,2,2,GLOBAL,
GSC-Function-4f437c0,function_dae4ab9b,2,2,GLOBAL,
GSC-Function-4f437c0,function_778dee65,0,0,GLOBAL,
GSC-Function-4f437c0,function_bfc28859,1,4,GLOBAL,
GSC-Function-4f437c0,function_d3786e2e,1,1,GLOBAL,
GSC-Function-4f437c0,function_541ee9fe,2,2,GLOBAL,
GSC-Function-4f437c0,function_9fcf70e6,0,0,GLOBAL,
GSC-Function-49b9ae0,function_babc7126,3,5,DEV,nulled
GSC-Function-49b9ae0,function_adde7a5a,3,6,DEV,nulled
GSC-Function-49b9ae0,function_18e7ae46,2,4,DEV,nulled
GSC-Function-49b9ae0,function_c77b5a5d,2,5,DEV,nulled
GSC-Function-49b9ae0,function_62e25d17,1,4,DEV,nulled
GSC-Function-49b9ae0,function_b99d7d3f,2,5,DEV,nulled
GSC-Function-49b9ae0,function_38ea3f38,2,5,DEV,nulled
GSC-Function-49b9ae0,function_860e2426,4,7,DEV,nulled
GSC-Function-49b9ae0,function_af72dbc5,4,7,DEV,nulled
GSC-Function-49b9ae0,function_e2557448,1,1,DEV,nulled
GSC-Function-49b9ae0,function_9f001067,0,0,DEV,nulled
GSC-Function-49b9ae0,print,1,7fffffff,DEV,nulled
GSC-Function-49b9ae0,println,1,7fffffff,DEV,nulled
GSC-Function-49b9ae0,profileprintln,1,7fffffff,GLOBAL,
GSC-Function-49b9ae0,printtoprightln,1,3,GLOBAL,
GSC-Function-49b9ae0,iprintln,1,7fffffff,GLOBAL,
GSC-Function-49b9ae0,iprintlnbold,1,7fffffff,GLOBAL,
GSC-Function-49b9ae0,print3d,2,6,DEV,nulled
GSC-Function-49b9ae0,line,2,6,DEV,nulled
GSC-Function-49b9ae0,function_1a29de75,1,5,DEV,nulled
GSC-Function-49b9ae0,box,1,8,DEV,nulled
GSC-Function-49b9ae0,circle,1,6,DEV,nulled
GSC-Function-49b9ae0,function_863d92f7,3,8,DEV,nulled
GSC-Function-49b9ae0,debugstar,1,3,DEV,nulled
GSC-Function-49b9ae0,sphere,1,7,DEV,nulled
GSC-Function-49b9ae0,debug2dtext,2,8,DEV,nulled
GSC-Function-49b9ae0,function_f59ce410,0,0,GLOBAL,
GSC-Function-49b9ae0,arraysort,2,5,GLOBAL,
GSC-Function-49b9ae0,arraysortclosest,2,5,GLOBAL,
GSC-Function-49b9ae0,getent,2,3,GLOBAL,
GSC-Function-49b9ae0,getentarray,0,3,GLOBAL,
GSC-Function-49b9ae0,getentarraybytype,1,1,GLOBAL,
GSC-Function-49b9ae0,function_ddcab01b,3,3,GLOBAL,
GSC-Function-49b9ae0,function_7b8e26b3,3,3,GLOBAL,
